id,Shipment Number,Destination,Transportation Mode,Actual Delivery Date,SLA Delivery Date,Cargo Ready Date,SLA ,Carrier,,
2740,1464129,IMC,OCEAN,2022-03-16 12:00,2022-03-25 0:00,2022-01-14 0:00,70,CARRIER 1,,
8971,1730325,IMU,OCEAN,2022-11-04 9:45,2022-11-23 0:00,2022-09-14 0:00,70,CARRIER 1,,
853,6911416107,IMU,OCEAN,2020-01-23 0:00,2020-02-26 0:00,2019-12-18 0:00,70,CARRIER 4,,
854,6911416992,IMU,OCEAN,2020-02-05 0:00,2020-02-29 0:00,2019-12-21 0:00,70,CARRIER 4,,
855,6911418234,IMU,OCEAN,2020-02-10 0:00,2020-03-12 0:00,2020-01-02 0:00,70,CARRIER 4,,
800,6911419650,IMU,OCEAN,2020-03-10 0:00,2020-03-25 0:00,2020-01-15 0:00,70,CARRIER 4,,
916,6911421668,IMU,OCEAN,2020-03-25 0:00,2020-04-29 0:00,2020-02-19 0:00,70,CARRIER 4,,
936,6911423160,IMU,OCEAN,2020-04-09 0:00,2020-05-13 0:00,2020-03-04 0:00,70,CARRIER 4,,
950,6911423901,IMU,OCEAN,2020-04-10 0:00,2020-05-20 0:00,2020-03-11 0:00,70,CARRIER 4,,
1016,6911426398,IMU,OCEAN,2020-04-30 0:00,2020-06-10 0:00,2020-04-01 0:00,70,CARRIER 4,,
1037,6911427550,IMU,OCEAN,2020-05-07 0:00,2020-06-10 0:00,2020-04-01 0:00,70,CARRIER 4,,
1156,6911438422,IMU,OCEAN,2020-08-11 0:00,2020-09-16 0:00,2020-07-08 0:00,70,CARRIER 4,,
1175,6911439223,IMU,OCEAN,2020-08-18 0:00,2020-09-23 0:00,2020-07-15 0:00,70,CARRIER 4,,
1248,6911442915,IMU,OCEAN,2020-09-18 0:00,2020-10-21 0:00,2020-08-12 0:00,70,CARRIER 4,,
1290,6911445488,IMU,OCEAN,2020-10-02 0:00,2020-11-04 0:00,2020-08-26 0:00,70,CARRIER 4,,
1309,6911446068,IMU,OCEAN,2020-10-07 0:00,2020-11-11 0:00,2020-09-02 0:00,70,CARRIER 4,,
1370,6911449526,IMU,OCEAN,2020-10-30 0:00,2020-12-02 0:00,2020-09-23 0:00,70,CARRIER 4,,
1381,6911450355,IMU,OCEAN,2020-11-13 0:00,,2020-09-29 0:00,70,CARRIER 4,,
1405,6911452432,IMU,OCEAN,2020-12-01 0:00,2020-12-30 0:00,2020-10-21 0:00,70,CARRIER 4,,
1452,6911454823,IMU,OCEAN,2020-12-14 0:00,2021-01-13 0:00,2020-11-04 0:00,70,CARRIER 4,,
1461,6911455958,IMU,OCEAN,2021-01-04 0:00,2021-01-20 0:00,2020-11-11 0:00,70,CARRIER 4,,
1476,6911457710,IMU,OCEAN,2021-01-04 0:00,2021-01-27 0:00,2020-11-18 0:00,70,CARRIER 4,,
1513,6911460244,IMU,OCEAN,2021-01-18 0:00,2021-02-17 0:00,2020-12-09 0:00,70,CARRIER 4,,
1542,6911462630,IMU,OCEAN,2021-02-08 0:00,2021-03-03 0:00,2020-12-23 0:00,70,CARRIER 4,,
1600,6911466790,IMU,OCEAN,2021-03-24 0:00,2021-04-14 0:00,2021-02-03 0:00,70,CARRIER 4,,
1629,6911468430,IMU,OCEAN,2021-04-07 0:00,2021-05-05 0:00,2021-02-24 0:00,70,CARRIER 4,,
1635,6911469529,IMU,OCEAN,2021-05-05 0:00,2021-05-12 0:00,2021-03-03 0:00,70,CARRIER 4,,
1652,6911469802,IMU,OCEAN,2021-04-26 0:00,2021-05-19 0:00,2021-03-10 0:00,70,CARRIER 4,,
1680,6911472069,IMU,OCEAN,2021-05-10 0:00,2021-06-02 0:00,2021-03-24 0:00,70,CARRIER 4,,
1690,6911473751,IMU,OCEAN,2021-06-07 0:00,2021-06-09 0:00,2021-03-31 0:00,70,CARRIER 4,,
1745,6911475282,IMU,OCEAN,2021-06-25 0:00,2021-06-16 0:00,2021-04-07 0:00,70,CARRIER 4,,
1790,6911477798,IMU,OCEAN,2021-08-17 0:00,2021-07-07 0:00,2021-04-28 0:00,70,CARRIER 4,,
1837,6911478321,IMU,OCEAN,2021-07-14 0:00,2021-07-21 0:00,2021-05-12 0:00,70,CARRIER 4,,
747,703028,IMU,OCEAN,2020-02-28 12:48,2020-03-13 0:00,2020-01-03 0:00,70,CARRIER 1,,
764,706299,IMU,OCEAN,2020-02-24 11:15,,2020-01-08 0:00,70,CARRIER 1,,
920,732460,IMU,OCEAN,2020-04-10 11:30,2020-05-08 0:00,2020-02-28 0:00,,CARRIER 1,,
1054,768095,IMU,OCEAN,2020-06-02 9:15,2020-06-24 0:00,2020-04-15 0:00,70,CARRIER 1,,
1397,925852,IMU,OCEAN,2020-12-08 12:10,2020-12-16 0:00,2020-10-07 0:00,70,CARRIER 1,,
1392,927775,IMU,OCEAN,2020-12-14 6:31,2021-01-02 0:00,2020-10-24 0:00,70,CARRIER 1,,
1407,943639,IMU,OCEAN,2021-02-09 7:42,2021-02-05 0:00,2020-11-27 0:00,70,CARRIER 1,,
1413,946985,IMU,OCEAN,2021-01-11 8:21,2021-01-05 0:00,2020-10-27 0:00,70,CARRIER 1,,
1449,954902,IMU,OCEAN,2021-01-05 11:10,2021-01-05 0:00,2020-10-27 0:00,70,CARRIER 1,,
1468,968123,IMU,OCEAN,2021-01-22 9:51,2021-02-12 0:00,2020-12-04 0:00,70,CARRIER 1,,
1484,977063,IMU,OCEAN,2021-02-03 6:15,2021-02-20 0:00,2020-12-12 0:00,70,CARRIER 1,,
1485,977078,IMU,OCEAN,2021-02-08 6:56,2021-02-18 0:00,2020-12-10 0:00,70,CARRIER 1,,
1486,977099,IMU,OCEAN,2021-02-02 9:14,2021-02-19 0:00,2020-12-11 0:00,70,CARRIER 1,,
1487,977222,IMU,OCEAN,2021-02-03 6:54,2021-02-19 0:00,2020-12-11 0:00,70,CARRIER 1,,
1499,985453,IMU,OCEAN,2021-02-26 9:30,2021-02-20 0:00,2020-12-12 0:00,70,CARRIER 1,,
1509,993142,IMU,OCEAN,2021-03-04 7:00,2021-03-05 0:00,2020-12-25 0:00,70,CARRIER 1,,
1511,994809,IMU,OCEAN,2021-04-26 7:30,2021-03-06 0:00,2020-12-26 0:00,70,CARRIER 1,,
1512,994814,IMU,OCEAN,2021-04-09 7:34,2021-03-06 0:00,2020-12-26 0:00,70,CARRIER 1,,
9500,CSZSE0134497,IMU,OCEAN,2022-11-14 12:11,2022-12-03 0:00,2022-09-24 0:00,70,CARRIER 3,,
1522,1002347,IMC,OCEAN,2021-02-25 9:00,2021-02-10 0:00,2020-12-16 0:00,56,CARRIER 1,,
1650,1077701,IMC,OCEAN,2021-05-05 12:00,2021-05-10 0:00,2021-03-15 0:00,56,CARRIER 1,,
1665,1087805,IMC,OCEAN,2021-06-02 10:00,2021-05-22 0:00,2021-03-27 0:00,56,CARRIER 1,,
1704,1109306,IMC,OCEAN,2021-07-19 0:00,2021-06-06 0:00,2021-04-11 0:00,56,CARRIER 1,,
1636,1074674,SYD,OCEAN,2021-04-26 12:00,2021-04-24 0:00,2021-03-20 0:00,35,CARRIER 1,,
2448,1389857,IMU,AIR,2021-12-16 8:00,2021-12-31 0:00,2021-12-03 0:00,28,CARRIER 1,,
2473,1396271,IMU,AIR,2021-12-20 9:30,2022-01-01 0:00,2021-12-04 0:00,28,CARRIER 1,,
2474,1396272,IMU,AIR,2021-12-20 8:00,2022-01-01 0:00,2021-12-04 0:00,28,CARRIER 1,,
2475,1396274,IMU,AIR,2021-12-15 8:30,2022-01-01 0:00,2021-12-04 0:00,28,CARRIER 1,,
2476,1396275,IMU,AIR,2021-12-16 8:00,2022-01-01 0:00,2021-12-04 0:00,28,CARRIER 1,,
2477,1396278,IMU,AIR,2021-12-20 9:30,2022-01-01 0:00,2021-12-04 0:00,28,CARRIER 1,,
2479,1396281,IMU,AIR,2021-12-20 9:00,2022-01-01 0:00,2021-12-04 0:00,28,CARRIER 1,,
2480,1396283,IMU,AIR,2022-01-18 7:00,2022-01-01 0:00,2021-12-04 0:00,28,CARRIER 1,,
2481,1396284,IMU,AIR,2021-12-20 8:00,2022-01-01 0:00,2021-12-04 0:00,28,CARRIER 1,,
2482,1396285,IMU,AIR,2021-12-20 8:00,2022-01-01 0:00,2021-12-04 0:00,28,CARRIER 1,,
2483,1396287,IMU,AIR,2021-12-20 9:30,2022-01-01 0:00,2021-12-04 0:00,28,CARRIER 1,,
2487,1397254,IMU,AIR,2021-12-16 8:00,2022-01-07 0:00,2021-12-10 0:00,28,CARRIER 1,,
2488,1397276,IMU,AIR,2021-12-28 9:00,2022-01-07 0:00,2021-12-10 0:00,28,CARRIER 1,,
2489,1397293,IMU,AIR,2021-12-28 8:00,2022-01-07 0:00,2021-12-10 0:00,28,CARRIER 1,,
2490,1397368,IMU,AIR,2021-12-28 8:00,2022-01-07 0:00,2021-12-10 0:00,28,CARRIER 1,,
2491,1403599,IMU,AIR,2021-12-20 8:00,2022-01-05 0:00,2021-12-08 0:00,,CARRIER 1,,
2492,1403642,IMU,AIR,2021-12-20 8:00,2022-01-05 0:00,2021-12-08 0:00,28,CARRIER 1,,
2493,1403661,IMU,AIR,2021-12-28 9:00,2022-01-05 0:00,2021-12-08 0:00,28,CARRIER 1,,
2494,1403695,IMU,AIR,2021-12-28 8:00,2022-01-05 0:00,2021-12-08 0:00,28,CARRIER 1,,
2495,1403704,IMU,AIR,2021-12-16 8:00,2022-01-05 0:00,2021-12-08 0:00,28,CARRIER 1,,
2496,1403710,IMU,AIR,2021-12-28 9:00,2022-01-06 0:00,2021-12-09 0:00,28,CARRIER 1,,
2497,1403723,IMU,AIR,2021-12-28 9:00,2022-01-06 0:00,2021-12-09 0:00,28,CARRIER 1,,
2500,1403773,IMU,AIR,2021-12-29 8:00,2022-01-07 0:00,2021-12-10 0:00,28,CARRIER 1,,
2501,1403786,IMU,AIR,2021-12-28 9:00,2022-01-07 0:00,2021-12-10 0:00,28,CARRIER 1,,
2502,1403791,IMU,AIR,2021-12-20 8:00,2022-01-07 0:00,2021-12-10 0:00,28,CARRIER 1,,
2503,1403801,IMU,AIR,2021-12-28 8:00,2022-01-08 0:00,2021-12-11 0:00,28,CARRIER 1,,
2513,1405866,IMU,AIR,2022-01-06 15:00,2022-01-14 0:00,2021-12-17 0:00,28,CARRIER 1,,
2514,1405912,IMU,AIR,2022-01-06 15:00,2022-01-14 0:00,2021-12-17 0:00,28,CARRIER 1,,
2516,1410409,IMU,AIR,2022-01-28 9:21,2022-02-01 0:00,2022-01-04 0:00,28,CARRIER 1,,
2517,1410415,IMU,AIR,2022-01-26 10:02,2022-02-02 0:00,2022-01-05 0:00,28,CARRIER 1,,
2662,1410424,IMU,AIR,2022-01-18 17:01,2022-01-28 0:00,2021-12-31 0:00,28,CARRIER 1,,
2663,1410425,IMU,AIR,2022-01-24 10:21,2022-01-28 0:00,2021-12-31 0:00,28,CARRIER 1,,
2518,1412739,IMU,AIR,2021-12-28 8:00,2022-01-12 0:00,2021-12-15 0:00,28,CARRIER 1,,
2519,1412754,IMU,AIR,2022-01-05 14:00,2022-01-12 0:00,2021-12-15 0:00,28,CARRIER 1,,
2520,1412762,IMU,AIR,2021-12-29 8:00,2022-01-12 0:00,2021-12-15 0:00,28,CARRIER 1,,
2521,1412766,IMU,AIR,2021-12-28 9:00,,2021-12-15 0:00,28,CARRIER 1,,
2522,1412780,IMU,AIR,2022-01-05 14:00,2022-01-12 0:00,2021-12-15 0:00,28,CARRIER 1,,
2524,1412800,IMU,AIR,2021-12-29 8:00,2022-01-12 0:00,2021-12-15 0:00,28,CARRIER 1,,
2525,1412805,IMU,AIR,2021-12-29 8:00,2022-01-12 0:00,2021-12-15 0:00,28,CARRIER 1,,
2526,1412816,IMU,AIR,2021-12-29 8:00,2022-01-12 0:00,2021-12-15 0:00,28,CARRIER 1,,
2527,1412826,IMU,AIR,2021-12-27 8:30,2022-01-12 0:00,2021-12-15 0:00,28,CARRIER 1,,
2528,1412832,IMU,AIR,2021-12-28 8:00,2022-01-12 0:00,2021-12-15 0:00,28,CARRIER 1,,
2529,1412842,IMU,AIR,2021-12-28 8:00,2022-01-12 0:00,2021-12-15 0:00,28,CARRIER 1,,
2530,1412867,IMU,AIR,2022-01-05 14:00,2022-01-15 0:00,2021-12-18 0:00,28,CARRIER 1,,
2531,1412899,IMU,AIR,2022-01-21 9:00,2022-01-15 0:00,2021-12-18 0:00,28,CARRIER 1,,
2542,1414780,IMU,AIR,2022-01-12 9:30,2022-01-21 0:00,2021-12-24 0:00,28,CARRIER 1,,
2543,1414791,IMU,AIR,2022-01-11 12:00,2022-01-21 0:00,2021-12-24 0:00,28,CARRIER 1,,
2544,1414828,IMU,AIR,2022-01-18 8:00,2022-01-21 0:00,2021-12-24 0:00,28,CARRIER 1,,
2545,1415114,IMU,AIR,2021-12-30 9:00,2022-01-13 0:00,2021-12-16 0:00,28,CARRIER 1,,
2546,1415119,IMU,AIR,2021-12-28 8:00,2022-01-13 0:00,2021-12-16 0:00,28,CARRIER 1,,
2547,1415125,IMU,AIR,2022-01-12 13:00,2022-01-13 0:00,2021-12-16 0:00,28,CARRIER 1,,
2548,1415130,IMU,AIR,2022-01-12 13:00,2022-01-13 0:00,2021-12-16 0:00,,CARRIER 1,,
2549,1415133,IMU,AIR,2021-12-30 9:00,2022-01-13 0:00,2021-12-16 0:00,28,CARRIER 1,,
2550,1415137,IMU,AIR,2022-01-12 13:00,2022-01-14 0:00,2021-12-17 0:00,28,CARRIER 1,,
2551,1415141,IMU,AIR,2021-12-29 8:00,2022-01-14 0:00,2021-12-17 0:00,28,CARRIER 1,,
2552,1415145,IMU,AIR,2022-01-12 13:00,2022-01-14 0:00,2021-12-17 0:00,28,CARRIER 1,,
2553,1415154,IMU,AIR,2022-01-07 7:00,2022-01-14 0:00,2021-12-17 0:00,28,CARRIER 1,,
2554,1415171,IMU,AIR,2022-01-07 9:30,2022-01-14 0:00,2021-12-17 0:00,28,CARRIER 1,,
2555,1415178,IMU,AIR,2022-01-06 15:00,2022-01-15 0:00,2021-12-18 0:00,28,CARRIER 1,,
2556,1415190,IMU,AIR,2022-01-07 7:00,2022-01-15 0:00,2021-12-18 0:00,28,CARRIER 1,,
2557,1415199,IMU,AIR,2022-01-06 11:00,2022-01-15 0:00,2021-12-18 0:00,28,CARRIER 1,,
2561,1422255,IMU,AIR,2022-01-05 14:00,2022-01-18 0:00,2021-12-21 0:00,28,CARRIER 1,,
2562,1422262,IMU,AIR,2021-12-30 9:00,2022-01-18 0:00,2021-12-21 0:00,28,CARRIER 1,,
2563,1422266,IMU,AIR,2021-12-30 9:00,2022-01-18 0:00,2021-12-21 0:00,28,CARRIER 1,,
2564,1422268,IMU,AIR,2022-01-13 13:00,2022-01-18 0:00,2021-12-21 0:00,28,CARRIER 1,,
2565,1422272,IMU,AIR,2022-01-06 11:00,2022-01-18 0:00,2021-12-21 0:00,28,CARRIER 1,,
2566,1422277,IMU,AIR,2022-01-12 13:00,2022-01-19 0:00,2021-12-22 0:00,28,CARRIER 1,,
2567,1422281,IMU,AIR,2022-01-12 13:00,2022-01-19 0:00,2021-12-22 0:00,28,CARRIER 1,,
2568,1422315,IMU,AIR,2022-01-21 9:00,2022-01-19 0:00,2021-12-22 0:00,28,CARRIER 1,,
2579,1422353,IMU,AIR,2022-01-12 13:00,2022-01-19 0:00,2021-12-22 0:00,28,CARRIER 1,,
2580,1422356,IMU,AIR,2022-01-07 7:00,2022-01-19 0:00,2021-12-22 0:00,28,CARRIER 1,,
2581,1422358,IMU,AIR,2022-01-11 12:00,2022-01-20 0:00,2021-12-23 0:00,28,CARRIER 1,,
2582,1422361,IMU,AIR,2022-01-11 12:00,2022-01-20 0:00,2021-12-23 0:00,28,CARRIER 1,,
2583,1422363,IMU,AIR,2022-01-06 15:00,2022-01-20 0:00,2021-12-23 0:00,28,CARRIER 1,,
2584,1422364,IMU,AIR,2022-01-06 11:00,2022-01-20 0:00,2021-12-23 0:00,28,CARRIER 1,,
2585,1422366,IMU,AIR,2022-01-17 13:30,2022-01-20 0:00,2021-12-23 0:00,28,CARRIER 1,,
2586,1422368,IMU,AIR,2022-01-12 9:30,2022-01-20 0:00,2021-12-23 0:00,28,CARRIER 1,,
2587,1422369,IMU,AIR,2022-01-06 11:00,2022-01-20 0:00,2021-12-23 0:00,28,CARRIER 1,,
2588,1422372,IMU,AIR,2022-01-07 7:00,2022-01-20 0:00,2021-12-23 0:00,28,CARRIER 1,,
2589,1422377,IMU,AIR,2022-01-07 7:00,2022-01-20 0:00,2021-12-23 0:00,28,CARRIER 1,,
2590,1423110,IMU,AIR,2022-01-12 9:30,2022-01-21 0:00,2021-12-24 0:00,28,CARRIER 1,,
2591,1423112,IMU,AIR,2022-01-12 9:30,2022-01-21 0:00,2021-12-24 0:00,28,CARRIER 1,,
2592,1423114,IMU,AIR,2022-01-12 13:00,2022-01-21 0:00,2021-12-24 0:00,28,CARRIER 1,,
2604,1423116,IMU,AIR,2022-01-12 9:30,2022-01-21 0:00,2021-12-24 0:00,28,CARRIER 1,,
2593,1423118,IMU,AIR,2022-01-11 12:00,2022-01-21 0:00,2021-12-24 0:00,28,CARRIER 1,,
2598,1423128,IMU,AIR,2022-01-12 13:00,2022-01-21 0:00,2021-12-24 0:00,28,CARRIER 1,,
2599,1423133,IMU,AIR,2022-01-13 13:00,2022-01-21 0:00,2021-12-24 0:00,28,CARRIER 1,,
2600,1423135,IMU,AIR,2022-01-13 13:00,2022-01-21 0:00,2021-12-24 0:00,28,CARRIER 1,,
2601,1423138,IMU,AIR,2022-01-11 12:00,2022-01-21 0:00,2021-12-24 0:00,28,CARRIER 1,,
2602,1423143,IMU,AIR,2022-01-12 9:30,2022-01-21 0:00,2021-12-24 0:00,28,CARRIER 1,,
2667,1428152,IMU,AIR,2022-01-21 11:11,2022-02-07 0:00,2022-01-10 0:00,28,CARRIER 1,,
2606,1428369,IMU,AIR,2022-01-18 8:00,2022-01-28 0:00,2021-12-31 0:00,28,CARRIER 1,,
2607,1428375,IMU,AIR,2022-01-14 13:00,2022-01-28 0:00,2021-12-31 0:00,28,CARRIER 1,,
2608,1428385,IMU,AIR,2022-01-11 12:00,2022-01-28 0:00,2021-12-31 0:00,28,CARRIER 1,,
2609,1428392,IMU,AIR,2022-01-12 9:30,2022-01-28 0:00,2021-12-31 0:00,28,CARRIER 1,,
2610,1429898,IMU,AIR,2022-01-13 13:00,2022-01-25 0:00,2021-12-28 0:00,28,CARRIER 1,,
2611,1429902,IMU,AIR,2022-01-18 8:00,2022-01-25 0:00,2021-12-28 0:00,28,CARRIER 1,,
2612,1429907,IMU,AIR,2022-01-18 8:00,2022-01-25 0:00,2021-12-28 0:00,28,CARRIER 1,,
2613,1429914,IMU,AIR,2022-01-18 8:00,2022-01-25 0:00,2021-12-28 0:00,28,CARRIER 1,,
2614,1429918,IMU,AIR,2022-01-13 13:00,2022-01-25 0:00,2021-12-28 0:00,,CARRIER 1,,
2615,1429926,IMU,AIR,2022-01-11 12:00,2022-01-26 0:00,2021-12-29 0:00,28,CARRIER 1,,
2616,1429929,IMU,AIR,2022-01-14 13:00,2022-01-26 0:00,2021-12-29 0:00,28,CARRIER 1,,
2617,1429933,IMU,AIR,2022-01-13 13:00,2022-01-26 0:00,2021-12-29 0:00,28,CARRIER 1,,
2618,1429955,IMU,AIR,2022-01-14 13:00,2022-01-26 0:00,2021-12-29 0:00,28,CARRIER 1,,
2619,1429956,IMU,AIR,2022-01-14 13:00,2022-01-26 0:00,2021-12-29 0:00,28,CARRIER 1,,
2623,1430015,IMU,AIR,2022-01-14 13:00,2022-01-26 0:00,2021-12-29 0:00,28,CARRIER 1,,
2624,1430022,IMU,AIR,2022-01-14 8:00,2022-01-26 0:00,2021-12-29 0:00,28,CARRIER 1,,
2625,1430026,IMU,AIR,2022-01-14 13:00,2022-01-26 0:00,2021-12-29 0:00,28,CARRIER 1,,
2634,1432595,IMU,AIR,2022-01-26 10:00,2022-02-04 0:00,2022-01-07 0:00,28,CARRIER 1,,
2635,1432612,IMU,AIR,2022-01-21 12:00,2022-02-04 0:00,2022-01-07 0:00,28,CARRIER 1,,
2636,1432622,IMU,AIR,2022-01-18 8:00,2022-02-03 0:00,2022-01-06 0:00,28,CARRIER 1,,
2637,1432626,IMU,AIR,2022-01-19 9:30,2022-02-03 0:00,2022-01-06 0:00,28,CARRIER 1,,
2638,1432636,IMU,AIR,2022-01-19 9:30,2022-02-03 0:00,2022-01-06 0:00,28,CARRIER 1,,
2639,1432642,IMU,AIR,2022-01-21 12:00,2022-02-04 0:00,2022-01-07 0:00,28,CARRIER 1,,
2641,1434404,IMU,AIR,2022-01-19 9:30,2022-02-03 0:00,2022-01-06 0:00,28,CARRIER 1,,
2642,1434411,IMU,AIR,2022-01-14 13:00,,2022-01-06 0:00,28,CARRIER 1,,
2643,1434414,IMU,AIR,2022-01-21 12:00,2022-02-03 0:00,2022-01-06 0:00,28,CARRIER 1,,
2644,1434416,IMU,AIR,2022-01-19 9:30,2022-02-03 0:00,2022-01-06 0:00,28,CARRIER 1,,
2645,1434431,IMU,AIR,2022-01-26 10:00,2022-02-04 0:00,2022-01-07 0:00,28,CARRIER 1,,
2646,1434438,IMU,AIR,2022-01-19 9:30,2022-02-04 0:00,2022-01-07 0:00,28,CARRIER 1,,
2647,1434442,IMU,AIR,2022-01-21 12:00,2022-02-04 0:00,2022-01-07 0:00,28,CARRIER 1,,
2648,1434447,IMU,AIR,2022-01-21 12:00,2022-02-04 0:00,2022-01-07 0:00,28,CARRIER 1,,
2653,1434473,IMU,AIR,2022-01-21 12:00,2022-02-05 0:00,2022-01-08 0:00,28,CARRIER 1,,
2657,1434508,IMU,AIR,2022-01-21 12:00,2022-02-05 0:00,2022-01-08 0:00,28,CARRIER 1,,
2672,1439293,IMU,AIR,2022-01-31 8:00,2022-02-11 0:00,2022-01-14 0:00,28,CARRIER 1,,
2673,1439306,IMU,AIR,2022-01-26 10:00,2022-02-11 0:00,2022-01-14 0:00,28,CARRIER 1,,
2674,1439324,IMU,AIR,2022-01-31 9:00,2022-02-11 0:00,2022-01-14 0:00,28,CARRIER 1,,
2675,1439353,IMU,AIR,2022-01-26 10:00,2022-02-11 0:00,2022-01-14 0:00,28,CARRIER 1,,
2677,1444462,IMU,AIR,2022-01-26 10:00,2022-02-10 0:00,2022-01-13 0:00,28,CARRIER 1,,
2678,1444463,IMU,AIR,2022-01-31 8:00,2022-02-10 0:00,2022-01-13 0:00,28,CARRIER 1,,
2679,1444464,IMU,AIR,2022-01-31 8:00,2022-02-10 0:00,2022-01-13 0:00,28,CARRIER 1,,
2684,1444479,IMU,AIR,2022-01-31 8:00,2022-02-11 0:00,2022-01-14 0:00,28,CARRIER 1,,
2685,1444483,IMU,AIR,2022-01-31 8:00,2022-02-11 0:00,2022-01-14 0:00,28,CARRIER 1,,
2700,1446140,IMU,AIR,2022-01-31 9:00,2022-02-18 0:00,2022-01-21 0:00,28,CARRIER 1,,
2711,1451972,IMU,AIR,2022-01-31 9:00,2022-02-17 0:00,2022-01-20 0:00,28,CARRIER 1,,
